Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Coherent Expecations),Question 1 Numerical,Question 1 Comment,Question 2 (Assignment Use),Question 2 Numerical,Question 2 Comment,Question 3 (Assignment Value),Question 3 Numerical,Question 3 Comment,Question 4 (Feedback),Question 4 Numerical,Question 4 Comment,Question 5 (Technology Use),Question 5 Numerical,Question 5 Comment,Question 6 (Learning Climate),Question 6 Numerical,Question 6 Comment,Question 7 (Respect),Question 7 Numerical,Question 7 Comment,Question 8 (Explanations),Question 8 Numerical,Question 8 Comment,Question 9 (Helpfulness),Question 9 Numerical,Question 9 Comment,Question 10 (Course Overall),Question 10 Numerical,Question 10 Comment,Question 11 (Instructor Overall),Question 11 Numerical,Question 11 Comment,Question 12 (Expected Grade),Question 12 Numerical,Question 12 Comment,Question 13 (Required or Elective),Question 13 Numerical,Question 13 Comment,Question 14 (Hours of Work),Question 14 Numerical,Question 14 Comment,Text Question 0 (Course Strengths),Text Question 1 (Course Weaknesses),Text Question 2 (Improvements to be Made)
2016-03-29T21:11:04,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,70-80,3,,Elective,1,,Around 10 hours,2,,good course,instructions needs to be clear,N/A
2016-03-29T21:44:59,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Less than 10 hours,1,,coding instructing,excel,less excel
2016-03-29T23:46:58,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Required,0,,Around 10 hours,2,,The strength of this course is to help handle the excel which helps data management. Also give general ideas of basic computing techniques.,"This course is showing the techniques a lot and also theories but when they introduce technique on the lecture note, hard to understand techniques  by words and paragraphs.",i hope there is more examples and videos to help understand techniques.
2016-03-29T23:48:15,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,Could use a little more detail in feedback.,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,Some content could have been simplified and now straightforward. Ex.organization and division of topics,Strongly Agree,4,Forums were well maintained.,Agree,3,Wish I did a little more coding!,Agree,3,,Above 90,5,Hopefully if I do well on exam,Elective,1,I had some interest in coding,Around 10 hours,2,Assignments at the end took much longer especially the last of the excel assignments.,Assignments that reflected the material being taught.,Some content could be explained in more simpler terms,Some assignments were excessive. More structure could be given for coding and formatting it.
2016-03-30T00:44:41,Agree,3,,Agree,3,,Agree,3,"sometimes the content did not cover the assignment, like assignment 9. There was little to no explanation as to how to use weights to create quizzes and it is difficult to find the information online. The information provided in the html was very limiting and hard to understand without trial and error.",Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,70-80,3,,Elective,1,,More than 10 hours,3,,,,
2016-03-30T00:51:14,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,The explanations for assignments were clear and the content was clearly explained.,,
2016-03-30T00:53:56,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,Things are explained really well and the assignments work perfectly with the course material.,,
2016-03-30T02:17:41,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,
2016-03-30T03:24:29,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,The clear instructions provided for the assignments and some of the examples were a great help,Sometimes the T.A take longer to reply back to certain messages.,One thing that this course can be improved on is probably make the assignments more concise because some of the assignments were kind of tedious to perform.
2016-03-30T09:57:36,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Strongly Agree,4,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,gives great background information for common applications like excel and html.,Some excel questions were hard to understand what I was supposed to do,Have questions that are easier to understand.
2016-03-30T10:05:33,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,More than 10 hours,3,,,,
2016-03-30T10:08:40,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,usefullness,,
2016-03-30T10:31:38,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Required,0,,Less than 10 hours,1,,organization,,
2016-03-30T10:56:27,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,,,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,
2016-03-30T12:33:49,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,"I never met the instructor, only the ISA Team. They were extremely helpful and I found a lot of value in talking to them.",Agree,3,,Strongly Agree,4,"Once again, I am referring to the ISA's. They were very helpful and always available",Strongly Agree,4,,,,,Above 90,5,,Required,0,,Less than 10 hours,1,,"The practicality of concepts like Excel, especially for future employment opportunities","Sometimes concepts were a bit difficult, but I did use the ISA's a lot",
2016-03-30T12:38:22,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Neutral,2,,Disagree,1,,Neutral,2,,Disagree,1,,Neutral,2,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,
2016-03-30T13:08:26,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Strongly Agree,4,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,The amount of information that is taught. I really learned a lot and it was quite interesting throughout.,"Specifically the excel as well as html units, they weren't very well taught and could have more detail to avoid confusion and such difficulty with the assignments.","To explain concepts better, I had to look up a lot of things to understand what was trying to be explained. Also, to"
2016-03-30T13:15:25,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,,,,Agree,3,,,,,80-90,4,,Required,0,,Much less than 10 hours,0,,"Easy, interesting, and applicable.",Some material could have been explained more in depth and more examples could have been provided (i.e. html and css),
2016-03-30T14:42:11,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Disagree,1,,80-90,4,,Elective,1,,Less than 10 hours,1,,It is a good intro course for students interested in learning about CS,Its online so it isn't the most engaging course and it requires you to be willing to put in the effort and teach yourself,Some instructions or things in the quiz weren't directly taught in the modules
2016-03-30T15:07:57,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,,,,,,,,,,Agree,3,,Neutral,2,,70-80,3,,Required,0,,Much less than 10 hours,0,,Being online,none,
2016-03-30T15:53:39,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Strongly Agree,4,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,
2016-03-30T15:54:55,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,the quizzes vary in difficulty a lot.,
2016-03-30T16:20:29,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,80-90,4,,Elective,1,,Around 10 hours,2,,The assignments,,Personalized videos
2016-03-30T16:54:26,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,,,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,,,,80-90,4,,Elective,1,,Less than 10 hours,1,,Very easy to follow,,
2016-03-30T16:58:39,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,
2016-03-30T21:18:20,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,Some explanations were not clearly,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Around 10 hours,2,,It is interesting and I got to learn a lot more about computers as I do have an interest in them,Some of the explanations were not helpful and were confusing to understand.,Reduce the number of lectures/modules on
2016-03-31T02:10:56,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,
2016-03-31T10:10:35,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,70-80,3,,Required,0,,Less than 10 hours,1,,Being able to learn HTML and CSS.,The quizzes.,Update the information slides to encompass more relevant and current technologies.
2016-03-31T11:41:45,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,Instructor help and availability.,"No videos, learning content only through short/brief readings",
2016-03-31T12:19:33,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,,,,,,,Agree,3,,,,,Agree,3,,,,,70-80,3,,Required,0,,Much less than 10 hours,0,,"Information is presented in a clear manner, and somewhat interesting to read",Don't offer so many late days without penalty.,Offer an optional tutorial time within class schedules. I would have been more inclined to attend this than office hours.
2016-03-31T14:48:05,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Disagree,1,,Disagree,1,,60-70,2,,Elective,1,,Less than 10 hours,1,,,,
2016-03-31T19:49:18,Strongly Agree,4,,Strongly Agree,4,,Agree,3,Some assignments I needed to go in for help to understand because the course notes were not enough to let me know how to do. Ex: assignment 9 html quiz,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,I would STRONGLY recommend incorporating weekly in-person office hours. Asking over email just isn't as helpful or easy.,,,,Agree,3,,,,,Agree,3,,,,,70-80,3,,Required,0,,Less than 10 hours,1,,,no in-person tutorial/ office hours,in-person office hours
2016-04-01T00:41:19,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,,,,Agree,3,,,,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,"As a science major, I found these basic CS concepts to be very practical especially the excel formulas that were taught.",The webdesign practical assignments for modules 8 and 9 required a lot of self-taught learning from sources outside of the modules/given course content. I understand that this is good in encouraging students to research and learn more on their own but this made completing the assignments on my own more difficult as not all the information was given in the course notes.,
2016-04-01T08:36:41,Disagree,1,,Neutral,2,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,,,,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,basic CS - good introductory,some content was unclear,change some of the content to make it more clear
2016-04-01T09:35:05,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,,,I cannot answer questions about the instructor directly as I had no contact with him. Our contacts are the four teaching assistants.,,,,,,,Strongly Agree,4,,,,,80-90,4,,Elective,1,,Less than 10 hours,1,,Interesting and relatable topic.,Not much. A few changes needed but this course is in flux.,I'm not sure that Module 9 was useful for me. I spent more time on worrying about the var weights for my web page than anything else. There was some confusion towards the end because some things had to be shifted around.Sometimes uploading to the student.cs website didn't work properly. I'm not sure if that was us or the program. I think there should be more about responsive design and accessibility requirements for websites.
2016-04-01T12:01:11,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,Teaching excel and coding in a way that gets students to think about the course,Some modules (like module 10) are very long and dull,Students may be more involved if the course could be related to social media more since it is such a big part of today's culture
2016-04-01T12:51:16,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,I was taking the course online so I did not have much interaction with the instructor,,,,,,,Agree,3,,,,,70-80,3,,Elective,1,,Around 10 hours,2,,online quizzes,,More videos need to be provided as supplementary material.
2016-04-01T15:50:14,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,"Lots of great information, enjoyed learning about computers","Covered too many topics in one week - did not get in depth
Some topics were unnecessary like TCP/IP",Some instructions for assignments were vague
2016-04-01T23:04:03,Strongly Disagree,0,"sending me to the internet to learn a topic I need to use for the assignment seems broken.  I don't trust the internet.   If you have a trustworthy page, please suggest it so that I know the information I am getting is correct/vetted.",Neutral,2,,Disagree,1,,Agree,3,,Strongly Disagree,0,The comments seemed to come so much later than when I did the assignments.  It seemed very disconnected.,Strongly Disagree,0,Rick-rolling someone is totally inappropriate.  I do not feel like I learned very much from this course.,Disagree,1,Would have liked better instruction materials.,Strongly Disagree,0,"Did not interact with instructor in any way, only with TAs",Disagree,1,Sometimes the explanations were convoluted and confusing and I work with Excel everyday.  I wondered how someone who is new to Excel would have done on this section.,Neutral,2,,Disagree,1,"I learned some stuff, but the whole first section on computers is a waste of time.  When will I ever use hexidecimal stuff?  Seriously, teach me practical things that improve my ability to use Excel or HTML, etc.",Strongly Disagree,0,Found this course frustrating.,70-80,3,,Elective,1,,Much less than 10 hours,0,,The web design section,"The computer section, the quizzes, the delayed marking","Get rid of the computer section.  If I want to take a computer course, I would have signed up for CS 115.  I wanted to learn more about Excel, and web page management.... you know, things that would be useful for getting a job.  Not sure why this is a difficult concept."
2016-04-03T21:01:49,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Disagree,1,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,"Assignments were relevant, multiple assistants available to help answer questions.",The whole course is text based. It's like reading a text book.,I would like a mixture of lectures and notes. Reading text off of a page is boring and makes it difficult to learn sometimes. I'd also like to see more examples in the excel section.
2016-04-03T22:48:35,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,80-90,4,,Required,0,,Less than 10 hours,1,,easy to understand,some of the web page stuffs were a little bit too intense,please explain the module 7 and 8 a little bit more because they are relatively hard to understand
2016-04-04T01:46:35,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,60-70,2,,Required,0,,Around 10 hours,2,,the modules are well written and they contain great examples,,
2016-04-04T10:47:29,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,great skills to learn for everyday living,,
2016-04-04T11:05:37,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Disagree,1,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,80-90,4,,Required,0,,Less than 10 hours,1,,,,
2016-04-04T11:11:51,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,"Highly organized, professor makes good analogies using everyday objects/situations to explain complicated technological processes",Sometimes does not provide enough information/instruction for students to complete the assignments,Provide more specific instructions in the Dynamic Web Pages module regarding how to apply Javascript to the assignment
2016-04-04T11:43:42,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,"Assignments to enhance the material 
Pictures to relate to the material",Terminology was confusing,None
2016-04-04T11:57:09,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,70-80,3,,Elective,1,,Less than 10 hours,1,,Online version- self-taught,Not able to connect through on-campus study groups,"More focus on html, Css and java. I do not think that excel needed to be focused on as much"
2016-04-04T12:39:08,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,,,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,I found the material very interesting,"Some of the assignments were very time-consuming and when doing it with a full course load, it can be overwhelming.",
2016-04-04T12:50:07,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,N/A,N/A,Nothing. Great as is!
2016-04-04T13:03:43,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,
2016-04-04T13:49:03,Disagree,1,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,
2016-04-04T14:02:56,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,,,I never contacted instructor.,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,The excel portion.,Nothing.,Provide a more in-depth video of the INDIRECT function.
2016-04-04T14:09:34,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,Did not seek assistance,Strongly Agree,4,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,Very applicable,"Harder concepts (such as networks, modems, etc) more difficult to understand",N/A
2016-04-04T14:18:35,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,,,,Agree,3,,,,,Above 90,5,,Required,0,,Around 10 hours,2,,,,
2016-04-04T15:03:01,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Disagree,1,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,80-90,4,,Required,0,,Much less than 10 hours,0,,The html was fun,The excel wasn't helpful,Focus more on excel/word
2016-04-04T15:17:06,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,60-70,2,,Elective,1,,Less than 10 hours,1,,Little bit of humour in the modules.,"Difficulty of later modules. I had no prior knowledge, and was extreamly confused as modules got more complicated after module 7",I don't know. I just do not think this course is for me. Thanks.
2016-04-04T16:07:20,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Strongly Agree,4,,Neutral,2,,Neutral,2,,70-80,3,,Required,0,,Around 10 hours,2,,,,
2016-04-04T22:45:23,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,,,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Around 10 hours,2,,"The practical assignments with Excel and HTML/CSS, which were actually quite fun.",,"More practical assignments, doing more with Excel if possible, as well as possibly teaching how to use database software (MS Access?), as that is sometimes a requirement or qualification for jobs."
